time,available_bandwidth_mbps,oracle_near_mbps,oracle_far_mbps,static_near_mbps,static_far_mbps
0,19.916797802665325,0.0,15.0,10.0,0.0
1,24.22940237121268,0.0,20.0,10.0,10.0
2,28.423754118128933,25.0,1.0,10.0,10.0
3,32.77799622289305,25.0,7.0,10.0,10.0
4,37.107173490012414,35.0,1.0,10.0,10.0
5,37.45462444223599,35.0,1.0,10.0,10.0
6,37.99839278919449,35.0,1.0,10.0,10.0
7,38.3258863439448,35.0,1.0,10.0,10.0
8,38.80902849843329,35.0,3.5,10.0,10.0
9,38.696454497485384,35.0,3.5,10.0,10.0
10,38.71855289191259,35.0,3.5,10.0,10.0
11,38.76353013513242,35.0,3.5,10.0,10.0
12,38.67872165359016,35.0,3.5,10.0,10.0
13,38.44260095941755,35.0,1.0,10.0,10.0
14,38.30575510236761,35.0,1.0,10.0,10.0
15,37.81498600944416,35.0,1.0,10.0,10.0
16,37.59547610143022,35.0,1.0,10.0,10.0
17,37.248295828359595,35.0,1.0,10.0,10.0
18,36.919959985272946,35.0,1.0,10.0,10.0
19,36.42312182348107,35.0,1.0,10.0,10.0
20,35.801606048971884,35.0,0.0,10.0,10.0
21,35.29056238185,35.0,0.0,10.0,10.0
22,35.04328447134225,35.0,0.0,10.0,10.0
23,34.30966717838405,25.0,7.0,10.0,10.0
24,33.69642051773167,25.0,7.0,10.0,10.0
25,32.94382210838825,25.0,7.0,10.0,10.0
26,32.56334249229927,25.0,7.0,10.0,10.0
27,32.13630507015089,25.0,7.0,10.0,10.0
28,31.862997051996924,25.0,5.0,10.0,10.0
29,31.77256461096421,25.0,5.0,10.0,10.0
30,31.496467657547075,25.0,5.0,10.0,10.0
31,31.162094929660718,25.0,5.0,10.0,10.0
32,31.265864212371277,25.0,5.0,10.0,10.0
33,31.57435777705951,25.0,5.0,10.0,10.0
34,31.71471431069559,25.0,5.0,10.0,10.0
35,31.749755467352962,25.0,5.0,10.0,10.0
36,32.0108509237351,25.0,7.0,10.0,10.0
37,32.407296858593995,25.0,7.0,10.0,10.0
38,32.61915288548198,25.0,7.0,10.0,10.0
39,34.51257202849853,25.0,7.0,10.0,10.0
40,36.59080803326767,35.0,1.0,10.0,10.0
41,39.07010151613669,35.0,3.5,10.0,10.0
42,41.31444553538972,35.0,5.0,40.0,0.0
43,44.10597744201418,35.0,7.0,40.0,0.0
44,46.334372176859354,45.0,1.0,40.0,0.0
45,49.02010017040522,45.0,3.5,40.0,0.0
46,51.53123696025416,45.0,5.0,40.0,10.0
47,53.91718341824798,45.0,7.0,40.0,10.0
48,54.97858603580231,45.0,7.0,40.0,10.0
49,56.04234976315195,45.0,10.0,40.0,10.0
50,56.56853449309075,45.0,10.0,40.0,10.0
51,57.353216572352004,45.0,10.0,40.0,10.0
52,58.018498174243696,45.0,10.0,40.0,10.0
53,58.78835608002635,45.0,10.0,40.0,10.0
54,58.90274163909786,45.0,10.0,40.0,10.0
55,58.90686959947464,45.0,10.0,40.0,10.0
56,59.53373488031388,45.0,10.0,40.0,10.0
57,59.75775978711317,45.0,10.0,40.0,10.0
58,59.8304568131167,45.0,10.0,40.0,10.0
59,60.147463478041345,60.0,0.0,60.0,0.0
60,60.50127246019655,60.0,0.0,60.0,0.0
61,60.41792632549455,60.0,0.0,60.0,0.0
62,60.69618912570472,60.0,0.0,60.0,0.0
63,61.010350318247305,60.0,1.0,60.0,0.0
64,62.10589374984877,60.0,1.0,60.0,0.0
65,62.86614410279741,60.0,1.0,60.0,0.0
66,64.084658585115,60.0,3.5,60.0,0.0
67,65.10990764167073,60.0,5.0,60.0,0.0
68,66.0447978480256,60.0,5.0,60.0,0.0
69,67.07988473626689,60.0,7.0,60.0,0.0
70,68.30858688334379,60.0,7.0,60.0,0.0
71,69.3955746739455,60.0,7.0,60.0,0.0
72,70.65066040433696,60.0,10.0,60.0,10.0
73,71.67938470975696,60.0,10.0,60.0,10.0
74,72.58210647565585,60.0,10.0,60.0,10.0
75,73.16707391770703,60.0,10.0,60.0,10.0
76,73.79555160408218,60.0,10.0,60.0,10.0
77,74.38318851040835,60.0,10.0,60.0,10.0
78,74.94233454941522,60.0,10.0,60.0,10.0
79,75.3497758198754,60.0,15.0,60.0,10.0
80,75.78149204662509,60.0,15.0,60.0,10.0
81,76.21176275064357,75.0,1.0,60.0,10.0
82,76.048775427224,75.0,1.0,60.0,10.0
83,76.30380153338349,75.0,1.0,60.0,10.0
84,76.72772274289159,75.0,1.0,60.0,10.0
85,76.98367030329996,75.0,1.0,60.0,10.0
86,77.74882850853905,75.0,1.0,60.0,10.0
87,77.97914083404532,75.0,1.0,60.0,10.0
88,78.60104486103224,75.0,3.5,60.0,10.0
89,79.26124204851645,75.0,3.5,60.0,10.0
90,80.01381386241552,75.0,5.0,60.0,10.0
91,74.69264424875522,60.0,10.0,60.0,10.0
92,69.04572772750892,60.0,7.0,60.0,0.0
93,63.11083230026144,60.0,1.0,60.0,0.0
94,57.39179810845924,45.0,10.0,40.0,10.0
95,51.152116965701126,45.0,5.0,40.0,10.0
96,45.03921819552874,45.0,0.0,40.0,0.0
97,38.78472164971672,35.0,3.5,10.0,10.0
98,32.61042589280649,25.0,7.0,10.0,10.0
99,26.225572567154643,25.0,1.0,10.0,10.0
100,25.935062856239785,25.0,1.0,10.0,10.0
101,25.89925571782091,25.0,1.0,10.0,10.0
102,25.655620586305872,25.0,1.0,10.0,10.0
103,25.323094651022085,25.0,1.0,10.0,10.0
104,25.26515119235333,25.0, 1.0,10.0,10.0
105,24.966104101802735,20.0,1.0,10.0,10.0
106,24.745788713615397,20.0,1.0,10.0,10.0
107,24.237945525435336,20.0,1.0,10.0,10.0
108,23.81921486079345,20.0,1.0,10.0,10.0
109,23.171460950230156,20.0,1.0,10.0,10.0
110,22.641200002565984,20.0,1.0,10.0,10.0
111,22.231065006495417,20.0,1.0,10.0,10.0
112,21.81710575182009,20.0,2.0,10.0,10.0
